Year Released,Album Name,Artist Name
2022-04-01,In My Head,Lil Tjay
2022-03-31,D-Day: A Gangsta Grillz Mixtape,Dreamville
2022-02-14,Banking On Me,Gunna
2022-02-18,Let's Get It (Remix) [feat. 21 Savage],Hunxho
2022-04-01,Playa,A Boogie Wit da Hoodie
2022-03-18,Heavy,Nigo
2022-03-04,BETTER THAN YOU,DaBaby
2022-02-22,AHHH HA,Lil Durk
2022-04-01,Pull Up Actin (Never Broke Again featuring YoungBoy Never Broke Again and P Yungin),Never Broke Again
2022-01-14,Surround Sound (feat. 21 Savage & Baby Tate),JID
2022-01-07,DS4EVER,Gunna
2021-10-30,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Kodak Black
2022-02-18,Nail Tech,Jack Harlow
2021-12-03,Who is Nardo Wick?,Nardo Wick
2022-03-25,Yellow Tape 2 (Deluxe),Key Glock
2022-04-01,2 Alivë (Geëk Pack),Yeat
2022-02-18,Elon Musk (feat. Gunna),DDG
2022-04-01,Ye Not Crazy,Joyner Lucas
2021-12-10,Fighting Demons (Complete Edition),Juice WRLD
2022-03-11,7220,Lil Durk
2022-04-01,Ice Cream (feat. Rick Ross),Freddie Gibbs
2022-01-14,From a Birds Eye View,Cordae
2022-02-04,Scared Money,YG
2022-02-11,Worst Day,Future
2022-03-28,ROSE STREET,Vince Staples
2022-03-04,Publicity Stunt,Gucci Mane
2021-09-10,The Melodic Blue,Baby Keem
2022-02-04,Don't Play That,King Von
2022-04-01,Top Notch (feat. Fivio Foreign),City Girls
2022-01-25,Rumors (feat. Lil Durk),Gucci Mane
2022-03-11,Crypto (feat. Rich The Kid),Takeoff
2022-03-04,Beat The Streets,Tee Grizzley
2022-03-04,What It Means To Be King,King Von
2022-01-20,Flossin’ (feat. YoungBoy Never Broke Again),Internet Money
2022-03-25,I Know NIGO!,A$AP Rocky
2022-01-14,Sorry 4 The Wait,Lil Wayne
2022-02-15,HOME,Mike Dimes
2022-03-25,We Go Up,Nicki Minaj
2022-03-11,Wheelie (feat. 21 Savage),Latto
2022-03-10,Pain Killers,Key Glock
2022-02-03,CM10: Free Game,Yo Gotti
2022-02-11,City of Gods,Fivio Foreign
2022-03-18,Magic City (feat. Quavo),Fivio Foreign
2021-09-10,Up 2 Më,Yeat
2022-03-18,Blick Blick,Coi Leray
2022-02-04,Do We Have A Problem?,Nicki Minaj
2022-02-25,Back For Everything,Kodak Black
2022-02-04,Gospel (with Eminem),Dr. Dre
2022-04-01,They Not Ready,Dreezy
